fips,state,county,yrs_lost_rate,sroh_fairpoor,phys_days,ment_days,pct_smokers,pct_obese,food_envir,inactive,binge_drink,uninsured,some_college,unemployed,income_ratio,social_assoc,air_pollution,housing_prob,drive_alone,phys_distress,ment_distress,food_insecure,poor_sleep,health_costs,hh_income,population,pct_65plus,pct_nhwhite,not_english,pct_female,pct_rural,rural_cat,race_cat
6041,California,Marin,3625.3,10.97888618,3.215387781,3.443265522,9.979472795,18.9,8.3,11.6,21.07038975,8.699220958,75.14638907,3.54229998,5.620699246,8.322147651,7.6,24.06957536,65.24933924,9.165727146,9.869956374,11.5,29.7,7585,99.868,261221,20.0316973,71.9421486,4.253219882,51.15362088,6.519973535,Urban,High
6043,California,Mariposa,8131.5,13.62832133,3.788028852,3.843279423,12.20886107,24.4,6.9,17,18.50019991,12.56060606,62.9575828,7.211776348,4.635413685,10.17984391,8,19.47513812,68.44047112,10.99168282,11.30059962,16.3,28.4,8154.34,44.595,17531,25.21818493,80.49170042,1.366969786,49.39250471,100,Rural,Middle
6045,California,Mendocino,8048.9,16.80776819,4.282321191,4.082562308,13.36413462,22.4,6.9,16.5,18.87620106,15.84941564,55.80749194,5.854701918,4.889544449,8.535433429,5.8,27.58264463,73.68450546,12.89585045,12.54884631,15.7,30.4,6712.67,43.237,87649,19.83137286,65.82048854,5.246374703,50.23331698,45.23058708,Suburban,High
6047,California,Merced,6664.3,26.87007469,5.025617706,4.165473267,15.33298897,29.5,7.1,24.8,17.19339828,14.85223563,44.98896375,11.35064213,4.625020048,3.9796811,10.4,26.24320382,76.82387303,15.6197597,13.28385868,15.5,33.6,8297.84,42.879,268455,10.62263694,28.89422808,14.0490752,49.49619117,14.27326002,Urban,High
6049,California,Modoc,11461.3,16.75426977,4.261601478,4.146218563,13.96852401,23.2,5.7,19.2,16.70239095,15.30038473,67.61462565,8.760683761,4.456925928,5.541394215,6.2,19.07151819,66.18956743,12.72320218,12.62894621,17.6,30.5,6937.13,38.402,8965,23.85945343,76.84327942,3.507972665,49.50362521,69.95663845,Rural,High
6051,California,Mono,3666.3,14.3288783,3.665240002,3.672077363,12.92562305,22.8,7.6,15.8,21.16869907,16.47544367,67.84539474,6.142034549,3.068901474,7.144388083,5.4,22.10626186,48.04693089,10.80436381,10.94993074,12.1,30.1,8058.12,53.992,13909,12.94845064,65.62657272,7.615424778,46.61729815,45.83157302,Suburban,High
6053,California,Monterey,4955.1,22.24583129,4.139367353,3.810090019,11.19983658,22.3,8.2,17.2,17.75550548,17.38815467,45.04265371,8.074242376,4.302394647,5.077154197,7.6,30.90967073,70.47711608,12.73603562,11.80946399,11.8,32.2,7306.3,60.047,433898,12.33700086,30.72381067,18.9527529,49.07213216,9.816001176,Urban,High
6055,California,Napa,4437.9,14.10453306,3.46872673,3.41890882,11.7169912,23.7,8.5,16,19.12515092,12.53742025,58.14880173,4.604559075,4.532038206,7.694099543,7.5,24.49929193,76.0302085,10.26064243,10.3878158,10.6,28.1,7925.43,72.683,142456,17.42362554,53.26416578,8.99616349,50.37906441,13.40083819,Urban,High
6057,California,Nevada,6121.7,12.15711077,3.391268555,3.656990502,11.95747093,21.1,7.4,17.2,19.01084894,11.71391376,70.18567906,5.457848237,4.303999688,9.505222817,6.7,23.05440351,75.0717964,10.02698924,10.87875209,14.2,28.8,7165.97,57.627,98877,24.47586395,85.38082668,1.32795927,50.78228506,42.13478595,Suburban,Middle
6059,California,Orange,4118.2,14.96820388,3.520544452,3.48836563,10.27058097,19.7,8.6,16.1,17.65069624,13.37086723,67.1525432,4.477383911,4.812292677,5.890927241,10.9,28.43969423,78.37428191,10.2078301,10.14342437,10.9,30.8,9992.64,78.002,3169776,13.57972929,41.42144429,11.12668203,50.61057942,0.143344433,Urban,High
6061,California,Placer,4665.6,11.65728089,3.346723215,3.47770157,10.13078658,21.7,8.1,14.8,17.62883677,8.774233566,77.09366329,5.044450431,4.526597818,7.694501391,8.7,20.21701454,78.97884171,9.41327302,10.00160071,12.6,28.7,7571.71,76.203,375391,18.46927604,73.62483384,2.286358447,51.29584886,13.78719521,Urban,High
6063,California,Plumas,8975.7,14.11177611,3.902281189,3.936686112,12.57467929,23,7,15.4,17.26116777,11.86011151,62.3257111,10.35741254,4.798954629,18.81113619,8.8,21.2340189,75.53131199,11.35453264,11.75007183,18.1,29.4,7610.8,46.813,18409,25.68852192,83.85029062,1.091050067,49.82345592,74.02409157,Rural,Middle
6065,California,Riverside,5550.3,20.16634521,4.072532603,3.908424126,13.38756445,26,7.9,20,18.33455323,16.95215442,53.46987808,6.727828451,4.592635837,4.160099877,15.4,27.49562684,76.97896486,12.09884249,11.81077819,11.6,36.3,9285.08,57.895,2361026,13.55707222,36.72437322,8.402495735,50.25666808,4.622310233,Urban,High
6067,California,Sacramento,6192.2,17.06561273,3.78435008,3.88512591,12.90175025,27.4,7.1,17.1,18.69971526,11.49362803,66.17290732,6.005088542,4.897536641,7.280574025,9.9,23.92579919,76.09968773,11.272729,11.46228427,16.7,31.5,7827.5,58.735,1501335,13.19945249,46.03955813,7.037997651,51.08566709,2.062112169,Urban,High
6069,California,San Benito,4905.5,17.6775296,3.665291879,3.640777745,11.5443999,23.3,8.8,17.2,19.61732612,13.47107761,55.10436942,7.626919329,3.978292554,4.118969571,7.7,27.71403354,78.09572744,11.30707605,10.94410553,9,31.4,7383.74,76.521,58792,11.83324262,35.54395156,9.836065574,49.79418969,24.00441477,Suburban,High
6071,California,San Bernardino,6498.8,22.17670622,4.444387447,4.011478999,14.2462402,27.9,7.6,19.1,16.27717945,14.70650543,53.65330738,6.458596155,4.727689514,4.29324928,14.2,28.18275154,77.81059109,13.34542759,11.89229396,12.2,35.9,9491.3,53.526,2128133,10.74491115,29.95855992,8.403272093,50.22890957,4.734499143,Urban,High
6073,California,San Diego,4745.8,14.94781749,3.539069581,3.411059069,10.79844699,19.1,7.9,15.6,19.73349938,13.44211026,68.96074415,5.199266419,4.877107247,5.736294103,11.6,26.17454029,76.00515238,10.60465512,10.32860045,13.3,33.5,8629.55,67.053,3299521,13.09277923,46.27877804,7.773065863,49.70845768,3.297049442,Urban,High
6075,California,San Francisco,4730.6,12.73861466,3.170278484,3.30114294,9.909197063,16.1,7.5,15.5,23.01169136,9.289671616,85.49225358,3.636834768,7.103263048,8.809704517,8.2,26.92814432,35.85395538,9.014438619,9.36733935,16,32.2,7380.8,90.527,864816,14.63814268,40.96732715,12.71890262,49.04326469,0,Urban,High
