fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,health_costs,median_income,population,age65plus,african-am,hispanic,white,female,rural
39155,Ohio,Trumbull,8274,16.35,4.03,4.16,8.58,19.14,32.6,6.8,27.5,83.98,15.04,38.68,423.4,33.34,11.3,2137,67.41,84.7,6.46,26.9,4.366,13.21,11.3,Yes,13.12,88.58,419.5,12.3,12,12.4,16.3,38.6,11078.48,42831,203751,19.91,8.43,1.72,87.32,51.21,27.27
39157,Ohio,Tuscarawas,6787,16.67,3.84,3.81,7.54,16.95,35,7.5,31.2,69.56,14.91,30.95,257.9,33.67,11.78,2508,68.38,87.4,5.36,18,4.254,18.75,11.8,No,12.03,84.46,353.7,12.7,11.5,11.8,13.7,34.7,9640.23,47588,92916,18.26,0.81,2.59,94.86,50.51,41.58
39159,Ohio,Union,4652,12.83,3.33,3.65,6.53,16.93,34.2,8.4,27.7,75.72,18.46,21.21,440.9,21.88,6.63,1992,68.48,32.6,3.8,8.8,4.071,12.46,11.7,No,11.06,86.34,302.9,10.2,9.9,10.9,11.2,34.5,10337.37,76116,54277,11.54,2.62,1.58,90.88,52.18,49.95
39161,Ohio,Van Wert,6760,15.27,3.77,3.9,6.22,18.47,37.9,7.9,29.8,64.7,16.79,18.18,288.1,29.28,9.53,2587,62.03,92.4,4.13,15.3,3.601,18.97,11.4,No,9.18,84.22,374.6,14.8,11.1,11.8,12.7,35,9653.52,51264,28562,18.35,0.99,2.98,94.3,51.12,50.73
39163,Ohio,Vinton,10643,17.33,4.06,4.28,9.52,21.88,33.6,6.8,29.9,74.07,17.64,47.83,165.7,48.04,11.52,6617,71.97,87.5,6.59,32.9,4.448,6.05,10.8,No,14.26,86.46,513.5,17,12.6,13.1,16.6,39.2,10321.2,41675,13048,15.99,0.59,0.88,96.63,49.99,100
39165,Ohio,Warren,5489,12.11,2.96,3.45,7.28,14.82,29.9,8.2,24.2,85.8,18.81,32.5,162.4,16.33,6.85,1031,47.06,93,4.14,6.6,3.848,8.71,12.1,No,10.58,87.33,279.9,9.7,9,10.1,10.7,33.7,10233.16,81383,224469,13.47,3.43,2.56,87.39,49.84,17.27
39167,Ohio,Washington,6848,17.24,3.97,3.99,7.14,19.34,34.8,7.6,32.8,84.79,17.27,37.5,203.9,31.59,9.94,1391,59.47,92.3,5.98,21.5,4.676,13.23,11.2,No,11.19,85.62,400.7,14.4,11.8,12.4,14.5,35.3,10048.31,44697,61112,19.65,1.23,1.16,95.17,50.74,56.56
39169,Ohio,Wayne,6187,15,3.57,3.78,6.31,17.25,30.3,7.8,24.6,67.37,17.69,20,212,21.61,12.88,1777,57.48,93,3.93,16.9,3.842,14.02,12.2,Yes,13.38,79.18,325.6,12.3,10.9,11.6,13,36.8,8914.57,52717,116063,16.6,1.66,1.84,93.93,50.35,51
39171,Ohio,Williams,6137,16.35,3.86,3.99,6.19,18.98,35.9,7.5,31.4,52.28,16.83,37.5,173.3,40.9,10.04,1963,44.91,81,4.4,17.5,3.937,17.97,10.9,No,12.31,87.32,363.1,12.8,11.7,12.2,13.3,35.8,8600.62,49031,37120,17.86,1.12,4.32,92.9,50.34,63.63
39173,Ohio,Wood,5430,13.88,3.57,3.64,6.27,17.28,30.9,7.5,22.1,71.03,19.66,17.17,288.6,13.92,8.11,1456,67.78,94.4,4.3,10.9,4.674,12.04,11.4,Yes,14.72,84.13,313.4,11,10.8,11.4,13.7,37,9867.81,57390,129730,14.41,2.71,5.38,88.59,50.58,29.55
39175,Ohio,Wyandot,6529,14.5,3.65,3.78,7.66,18.77,35.8,8.2,27.5,54.8,17.56,46.67,187.1,39.36,9.4,3726,56.07,92.6,3.66,11.7,3.79,21.92,11.3,No,11.25,85.07,337.5,12.5,10.9,11.6,12.5,34.2,9601.08,51109,22243,18.33,0.31,2.66,95.29,50.59,57.42
