fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african-am,hispanic,white,female,rural
39021,Ohio,Champaign,8434,15.84,3.94,4.29,6.73,18.46,31.7,8.4,34.4,58.9,19.26,32.14,293.5,27.18,6.66,4855,66.86,91.24,3.84,14.8,3.657,11.07,11.7,No,10,86,421.4,12.9,11.6,13,11.9,35.9,57701,38754,18.1,2.04,1.65,93.33,0.501806265,0.708232536
39023,Ohio,Clark,12179,19.29,4.46,4.53,8.82,21.4,33.7,7,30.5,86.4,17.78,32.56,527.7,35.93,7.16,2206,57.83,87.56,4.56,21.7,4.265,11.22,11.6,No,14,81,551.2,14.9,13.5,14.1,14.9,37.1,50089,134585,19.4,8.72,3.52,84.03,0.515904447,0.236053581
39025,Ohio,Clermont,8228,15.07,3.78,4.14,7.3,18.54,37,7.8,26.6,77.6,19.38,37.5,287.9,22.66,5.88,1524,48.28,93.66,4.1,10.2,4.274,7.15,12,Yes,12,85,383.5,11.1,11.2,12.4,11.1,38.6,65280,205466,16.3,1.57,2.04,93.39,0.506760243,0.227165173
39027,Ohio,Clinton,10005,16.66,4.07,4.46,7.57,19.51,32.8,7.3,27.7,51.9,18.32,20,309.5,31.15,7.01,1313,63.82,88.32,5.26,16.6,4.379,9.52,11.3,No,13,83,466.5,13.9,12.1,13.6,14.1,35.1,53947,42057,17.1,2.13,1.54,93.45,0.50666952,0.546384396
39029,Ohio,Columbiana,8980,17.48,4.23,4.41,7.53,20.97,36,7.4,31.3,77.3,17.8,40.43,208.6,30.91,7.69,2343,55.29,93.38,5.17,22.3,4.124,15.72,11.5,No,11,86,430.8,12.1,12.6,13.7,14,39.8,44938,102665,20.5,2.28,1.93,93.79,0.494141139,0.438645784
39031,Ohio,Coshocton,8559,19.16,4.33,4.54,7.1,21.98,37.4,7.4,33.3,45.8,18.34,44.12,295.5,30.11,8.77,2811,47.99,93.38,6.16,24.2,4.12,12.04,11.3,No,11,79,410.1,13.3,13,14.1,14.2,38.6,46420,36629,19.5,1.2,1.02,95.77,0.50424527,0.614698789
39033,Ohio,Crawford,9661,16.88,4.25,4.54,7.83,19.97,31.7,7.1,29.9,80.3,17.02,34.78,407.2,35.96,6.95,2609,46.3,94.21,5.19,20.4,4.164,17.73,11.4,No,13,85,478.3,10.2,12.6,14.1,14.4,36.6,44715,41550,21,1,1.78,95.16,0.511095066,0.352640234
39035,Ohio,Cuyahoga,9085,18.48,4.3,4.59,10.69,20.03,30.4,6.9,24.8,97.5,20.07,41,884.6,25.9,6.61,900,58.71,86.38,5.24,26.6,5.634,9.37,13.2,No,17,80,420.6,11,13,14,18.4,35.6,50006,1243857,18.2,29.61,6.17,58.78,0.522900141,0.005817414
39037,Ohio,Darke,8954,16.36,4.04,4.35,5.72,18.42,35.7,8.3,32.7,50.4,17.59,35.14,192.1,25.69,7.39,1909,36.42,96.66,3.92,12.6,3.578,17.46,12.2,No,12,84,411.4,7.9,12.1,13.3,11.9,35.4,53853,51323,19.6,0.62,1.65,95.91,0.503575395,0.663022338
39039,Ohio,Defiance,7696,15.87,3.77,4.15,6.36,17.54,32.2,8.3,30.5,64,17.4,41.18,411.5,24.63,6.75,1817,53.07,96.58,4.42,14,3.423,16.51,12.2,Yes,11,86,369.6,13.6,11.4,12.6,10.7,34.1,56740,38165,18.6,1.64,10.26,86.09,0.503943404,0.438507057
39041,Ohio,Delaware,4125,12.57,3.32,3.52,6.15,15.02,27,8.9,18.7,95.6,19.17,27.27,217,6.3,4.36,701,28.01,96.28,3.36,3.8,3.978,8.38,11.9,No,10,85,211.9,8.4,9.6,10.7,8.1,30.8,103536,204826,13.7,3.62,2.72,84.49,0.504149864,0.193101588
39043,Ohio,Erie,9571,17.23,4.06,4.33,7.86,18.23,33.2,7.2,28.6,85.5,18.77,26.83,532,24.25,6.32,1313,63.14,94.02,5.6,16.9,4.03,13.63,11.1,Yes,12,85,432.8,12,12.2,13.1,14.2,38.2,53135,74615,21.9,8.56,4.57,83.06,0.511612947,0.26478029
39045,Ohio,Fairfield,6862,14.76,3.58,3.98,7.93,17.35,31.9,8,23.8,80.3,19.46,32.39,321.2,18.31,5.75,1629,51.36,94.4,4.05,11.6,4.363,10.15,11.6,No,13,85,331.6,9.5,10.9,12.4,12,36.1,67654,155782,15.8,8.09,2.28,85.67,0.502452145,0.347122253
39047,Ohio,Fayette,10999,17.3,4.28,4.53,7.75,21.36,35.8,7.8,33.5,55,17.71,26.32,274.8,40.78,6.95,3195,45.11,91.39,4.13,23,4.396,10.09,11.1,No,15,86,527.7,14,12.9,14,14.6,36.3,47733,28666,17.8,2.15,2.27,92.27,0.508302519,0.477506028
39049,Ohio,Franklin,8233,16.55,3.85,4.38,9.11,19.93,29.9,7,23.2,95.5,21.29,34.8,728.3,24.97,8.18,996,43.32,88.57,3.81,22.2,4.566,9.61,12.1,No,16,81,392.8,9.4,11.9,13.7,16.5,36.9,60383,1310300,12,22.9,5.71,62.57,0.511496604,0.013540322
39051,Ohio,Fulton,7845,15.03,3.76,4.11,6.8,17.2,31,8.3,26.8,54.7,21.14,22.92,290.9,21.04,6.45,2643,27.85,93.04,4.41,10.4,3.659,14.9,11.6,No,10,87,363.8,11,11.3,12.5,10.4,33.6,62800,42276,17.8,0.59,8.92,88.73,0.503193301,0.561595391
39053,Ohio,Gallia,12659,20.68,4.55,4.72,9.39,20.9,38.2,7.3,30.7,52.6,16.39,33.33,220.2,32.82,8.53,1153,61.67,85.55,6.12,30.9,4.804,13.01,10.4,No,15,87,591.4,18.3,13.8,14.6,15.7,39.7,43785,29979,19.1,2.23,1.46,93.15,0.505020181,0.813506174
39055,Ohio,Geauga,5484,13.19,3.5,3.96,6.42,16.91,24.8,8.7,21.3,81.3,19.45,31.03,167.2,6.51,8.89,1445,37.84,96.14,4.33,6.8,3.917,9.9,11.6,Yes,13,80,254.7,8.1,10.2,11.9,9.2,34.8,84093,94031,20.4,1.23,1.6,95.46,0.50369559,0.639689899
39057,Ohio,Greene,6598,16.43,4.02,4.28,7.47,17.57,29.6,7.6,21.7,85.8,19.07,39.62,412,13.72,5.98,1158,46.45,92.41,4.05,13.3,4.805,9.72,11.5,No,13,84,318.9,12,11.8,13,12.8,33.8,68380,167995,17.2,7.09,2.93,83.62,0.507104378,0.149096693
39059,Ohio,Guernsey,9450,18.66,4.28,4.72,8.85,21.57,36.4,7.3,29.7,50.7,17.38,25,286.5,33.41,8.6,2300,65.57,86.65,5.53,26.8,4.556,16.37,11.2,Yes,13,86,461.9,12.3,12.9,14.6,15.5,38.4,44623,39022,19.5,1.48,1.24,94.64,0.500999436,0.614189139
39061,Ohio,Hamilton,9116,18.3,4.09,4.67,9.49,19.33,29.1,6.7,22.7,96.9,19.76,38.69,843.1,25.6,6.84,907,48.32,86.73,4.11,21.9,5.535,10.49,13.1,No,17,80,420.4,11,12.7,14.1,17.2,38.9,57300,816684,15.3,26.21,3.45,64.98,0.516941681,0.022318769
